Название,Жанр,Режиссёр,Страна,Год,URL
Поле боя,драматический фильм,Джанни Амелио,Италия,2024,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B5_%D0%B1%D0%BE%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2024)"
Поле битвы,"драма, военный",Уильям Уэллман,США,1950,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B5_%D0%B1%D0%B8%D1%82%D0%B2%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Поле Айсулу,драма,Усенжан Ибрагимов,СССР,1976,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B5_%D0%90%D0%B9%D1%81%D1%83%D0%BB%D1%83
Полдень с Гауди,"детектив, драма, комедия",Сьюзан Зейделман,Испания,2001,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B4%D0%B5%D0%BD%D1%8C_%D1%81_%D0%93%D0%B0%D1%83%D0%B4%D0%B8
Пол-акра ада,нуар,Джон Х. Ауэр,США,1954,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB-%D0%B0%D0%BA%D1%80%D0%B0_%D0%B0%D0%B4%D0%B0
Секс ангелов,"драма, мелодрама",Хавьер Вильяверде,Испания,2012,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB_%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D0%BE%D0%B2
Поле,драма,Джим Шеридан,Ирландия Англия,1990,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1990)"
Пола Икс,драма,Леос Каракс,Франция Швейцария Германия Япония,1999,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B0_%D0%98%D0%BA%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Пол: Секретный материальчик,"комедия, фантастика, приключения",Грег Моттола,США Великобритания,2011,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB:_%D0%A1%D0%B5%D0%BA%D1%80%D0%B5%D1%82%D0%BD%D1%8B%D0%B9_%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8C%D1%87%D0%B8%D0%BA
Покушение на Россию,документальный фильм,Жан-Шарль Деньо,Франция,2002,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BD%D0%B0_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8E
Покушение на ГОЭЛРО,приключения,Николай Гусаров,СССР,1986,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BD%D0%B0_%D0%93%D0%9E%D0%AD%D0%9B%D0%A0%D0%9E
Покушение в Сараево,"исторический, драма",Велько Булайич,Югославия Чехословакия Германия,1975,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B2_%D0%A1%D0%B0%D1%80%D0%B0%D0%B5%D0%B2%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Покушение,"военная, драма",Иржи Секвенс,Чехословакия,1964,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1964)"
Покупки для клыков,"фильм ужасов, лгбт-фильм",Квентин Ли Джастин Лин,США,1997,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%83%D0%BF%D0%BA%D0%B8_%D0%B4%D0%BB%D1%8F_%D0%BA%D0%BB%D1%8B%D0%BA%D0%BE%D0%B2_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1997)"
Покрытое тайной: Так что же мы знаем?!,научно-популярный,Уильям Арнц Бетси Чассе Марк Висенте,США,2004,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%80%D1%8B%D1%82%D0%BE%D0%B5_%D1%82%D0%B0%D0%B9%D0%BD%D0%BE%D0%B9:_%D0%A2%D0%B0%D0%BA_%D1%87%D1%82%D0%BE_%D0%B6%D0%B5_%D0%BC%D1%8B_%D0%B7%D0%BD%D0%B0%D0%B5%D0%BC%3F!
Покровитель,"криминальный фильм, боевик, драма, триллер",Джеймс Гликенхаус Джеки Чан (Гонконская версия),Гонконг США,1985,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Покорители волн,драма,Майкл Эптед Кёртис Хэнсон,США,2012,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D0%B8_%D0%B2%D0%BE%D0%BB%D0%BD
Покорительница волн,семейный фильм,Джойс Чопра,США,2000,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D0%B0_%D0%B2%D0%BE%D0%BB%D0%BD
Покорение Эвереста,документальный фильм,Джордж Лоу,Великобритания,1953,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D1%80%D0%B5%D0%BD%D0%B8%D0%B5_%D0%AD%D0%B2%D0%B5%D1%80%D0%B5%D1%81%D1%82%D0%B0
Покорение космоса,"драма, фантастика",Байрон Хэскин,США,1955,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D1%80%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BA%D0%BE%D1%81%D0%BC%D0%BE%D1%81%D0%B0
Поколение романтиков,драматический фильм,Цзя Чжанке,Китай,2024,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D1%80%D0%BE%D0%BC%D0%B0%D0%BD%D1%82%D0%B8%D0%BA%D0%BE%D0%B2
Покойный Джордж Эпли,сатира,Джозеф Манкевич,США,1947,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D0%B9%D0%BD%D1%8B%D0%B9_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6_%D0%AD%D0%BF%D0%BB%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Поколение игры «Doom»,"драма, комедия",Грегг Араки,США Франция,1995,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B8%D0%B3%D1%80%D1%8B_%C2%ABDoom%C2%BB
Поколение Вояджер,научная фантастика,Нил Бёргер,США Чехия Великобритания Румыния,2021,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%92%D0%BE%D1%8F%D0%B4%D0%B6%D0%B5%D1%80
Поколение,"военный фильм, драма",Анджей Вайда,Польша,1954,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Покой нам только снится,драма,Шарунас Бартас,Литва Франция Россия,2015,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D0%B9_%D0%BD%D0%B0%D0%BC_%D1%82%D0%BE%D0%BB%D1%8C%D0%BA%D0%BE_%D1%81%D0%BD%D0%B8%D1%82%D1%81%D1%8F
Поклонница,"фильм ужасов, драма",Экхарт Шмидт,ФРГ,1982,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D0%BD%D0%B8%D1%86%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1982)"
Поклонник,"триллер, драма",Николай Лебедев,Россия,1999,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D0%BD%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1999)"
Поклонница,романтическая драма,Виталий Мельников,Россия,2012,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D0%BD%D0%B8%D1%86%D0%B0
Поклонник,"драма, фильм ужасов, триллер",Эдвард Бьянчи,США,1981,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D0%BD%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1981)"
Поклонник,триллер,Роб Коэн,США,2015,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D0%BD%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2015)"
Покемон. Детектив Пикачу,"фантастика, фэнтези, комедия, семейный, боевик",Роб Леттерман,США Япония,2019,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B5%D0%BC%D0%BE%D0%BD._%D0%94%D0%B5%D1%82%D0%B5%D0%BA%D1%82%D0%B8%D0%B2_%D0%9F%D0%B8%D0%BA%D0%B0%D1%87%D1%83
Поклонись до земли,драма,Леонид Осыка,СССР,1985,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D0%B8%D1%81%D1%8C_%D0%B4%D0%BE_%D0%B7%D0%B5%D0%BC%D0%BB%D0%B8
Покерфейс,фильм-триллер,Рассел Кроу,США,2022,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B5%D1%80%D1%84%D0%B5%D0%B9%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Поклонись огню,фильм-биография,Толомуш Океев,СССР,1971,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D0%B8%D1%81%D1%8C_%D0%BE%D0%B3%D0%BD%D1%8E
Покинувшие лагерь,"ужасы, комедия",Мэтт Каннингем,США,1998,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B8%D0%BD%D1%83%D0%B2%D1%88%D0%B8%D0%B5_%D0%BB%D0%B0%D0%B3%D0%B5%D1%80%D1%8C
Покидая Лас-Вегас,"психологическая драма, мелодрама, эротика",Майк Фиггис,США,1995,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B8%D0%B4%D0%B0%D1%8F_%D0%9B%D0%B0%D1%81-%D0%92%D0%B5%D0%B3%D0%B0%D1%81
Покемон: Мьюту наносит ответный удар — Эволюция,боевик,Кунихико Юяма Мотонори Сакакибара,Япония,2019,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B5%D0%BC%D0%BE%D0%BD:_%D0%9C%D1%8C%D1%8E%D1%82%D1%83_%D0%BD%D0%B0%D0%BD%D0%BE%D1%81%D0%B8%D1%82_%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D0%BD%D1%8B%D0%B9_%D1%83%D0%B4%D0%B0%D1%80_%E2%80%94_%D0%AD%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D1%8F
Покидая Неверленд,документальный фильм,Дэн Рид,США Великобритания,2019,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B8%D0%B4%D0%B0%D1%8F_%D0%9D%D0%B5%D0%B2%D0%B5%D1%80%D0%BB%D0%B5%D0%BD%D0%B4
Покахонтас,драматический фильм,неизвестно,США,1910,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0%D1%85%D0%BE%D0%BD%D1%82%D0%B0%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1910)"
Болевой порог,"триллер, приключения, драма",Андрей Симонов,Россия,2019,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D0%B5%D0%B2%D0%BE%D0%B9_%D0%BF%D0%BE%D1%80%D0%BE%D0%B3_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Покаяние,"драма, притча",Тенгиз Абуладзе,СССР,1986,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0%D1%8F%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Покажи мне Луну,"романтическая комедия, драматический фильм",Грег Берланти,США,2024,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0%D0%B6%D0%B8_%D0%BC%D0%BD%D0%B5_%D0%9B%D1%83%D0%BD%D1%83
Пока стоят горы...,драматический фильм,Вадим Михайлов,СССР,1976,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D1%81%D1%82%D0%BE%D1%8F%D1%82_%D0%B3%D0%BE%D1%80%D1%8B
Пока я не исчезну,драма,Шон Кристенсен,США,2014,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D1%8F_%D0%BD%D0%B5_%D0%B8%D1%81%D1%87%D0%B5%D0%B7%D0%BD%D1%83
Показательный процесс: История Pussy Riot,"документальный фильм, драма",Майк Лернер Максим Поздоровкин,Россия Великобритания,2013,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0%D0%B7%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D1%81%D1%81:_%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_Pussy_Riot
Покажи мне любовь,"подростковый фильм, , , история взросления, , , драматический фильм, , , лгбт-фильм, , , романтический фильм, ,",Лукас Мудиссон,Швеция,1998,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0%D0%B6%D0%B8_%D0%BC%D0%BD%D0%B5_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C
Пока я жив,"драма, мелодрама, музыкальный фильм",Яш Чопра,Индия,2012,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D1%8F_%D0%B6%D0%B8%D0%B2
Пока ты спал,"мелодрама, комедия",Джон Тёртелтауб,США,1995,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D1%82%D1%8B_%D1%81%D0%BF%D0%B0%D0%BB
Пока фронт в обороне,"военный фильм, драма",Юлий Файт,СССР,1964,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D1%84%D1%80%D0%BE%D0%BD%D1%82_%D0%B2_%D0%BE%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B5
Пока не сыграл в ящик,"бадди-муви, комедийный фильм, драматический фильм, трагикомедия",Роб Райнер,США,2007,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%BD%D0%B5_%D1%81%D1%8B%D0%B3%D1%80%D0%B0%D0%BB_%D0%B2_%D1%8F%D1%89%D0%B8%D0%BA
Пока ночь не разлучит,комедия,Борис Хлебников,Россия,2012,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%BD%D0%BE%D1%87%D1%8C_%D0%BD%D0%B5_%D1%80%D0%B0%D0%B7%D0%BB%D1%83%D1%87%D0%B8%D1%82
Пока не выпал снег…,"мелодрама, драма",Игорь Апасян,СССР,1984,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%BD%D0%B5_%D0%B2%D1%8B%D0%BF%D0%B0%D0%BB_%D1%81%D0%BD%D0%B5%D0%B3%E2%80%A6
Пока не наступит ночь,драма,Джулиан Шнабель,США,2000,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%BD%D0%B5_%D0%BD%D0%B0%D1%81%D1%82%D1%83%D0%BF%D0%B8%D1%82_%D0%BD%D0%BE%D1%87%D1%8C
Пока не высохнут слёзы,"криминальный фильм, драма",Вонг Карвай,Гонконг,1988,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%BD%D0%B5_%D0%B2%D1%8B%D1%81%D0%BE%D1%85%D0%BD%D1%83%D1%82_%D1%81%D0%BB%D1%91%D0%B7%D1%8B
Пока не взошла Луна,"драма, комедия",Кинуё Танака,Япония,1955,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%BD%D0%B5_%D0%B2%D0%B7%D0%BE%D1%88%D0%BB%D0%B0_%D0%BB%D1%83%D0%BD%D0%B0
Пока мы здесь,"научно-фантастический фильм, драматический фильм",Киёси Куросава,Япония,2017,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%BC%D1%8B_%D0%B7%D0%B4%D0%B5%D1%81%D1%8C
Пока живём,драма,"Рубен Геворкянц , Георгий Кеворков",СССР,1986,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%B6%D0%B8%D0%B2%D1%91%D0%BC
Пока мы молоды,"комедийная драма,",Ноа Баумбах,США,2014,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%BC%D1%8B_%D0%BC%D0%BE%D0%BB%D0%BE%D0%B4%D1%8B
Пока есть время,"историческая, драма",Борис Шиленко,СССР,1987,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%B5%D1%81%D1%82%D1%8C_%D0%B2%D1%80%D0%B5%D0%BC%D1%8F
Пока горят огни,драма,Айра Сакс,США,2012,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%B3%D0%BE%D1%80%D1%8F%D1%82_%D0%BE%D0%B3%D0%BD%D0%B8
Пока бьют часы,"сказка, семейный фильм",Геннадий Васильев,СССР,1976,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%B1%D1%8C%D1%8E%D1%82_%D1%87%D0%B0%D1%81%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Пока город спит,"фильм-нуар, драма, триллер",Фриц Ланг,США,1956,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4_%D1%81%D0%BF%D0%B8%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1956)"
Пока безумствует мечта,музыкальный фильм,Юрий Горковенко,СССР,1978,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0_%D0%B1%D0%B5%D0%B7%D1%83%D0%BC%D1%81%D1%82%D0%B2%D1%83%D0%B5%D1%82_%D0%BC%D0%B5%D1%87%D1%82%D0%B0
Поймёт лишь одинокий,"комедийная драма, романтическая комедия, криминальный фильм",Крис Коламбус,США,1991,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B9%D0%BC%D1%91%D1%82_%D0%BB%D0%B8%D1%88%D1%8C_%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE%D0%BA%D0%B8%D0%B9
"Пойми меня, если сможешь",драма,Азия Ардженто,"Италия, Франция",2014,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B9%D0%BC%D0%B8_%D0%BC%D0%B5%D0%BD%D1%8F,_%D0%B5%D1%81%D0%BB%D0%B8_%D1%81%D0%BC%D0%BE%D0%B6%D0%B5%D1%88%D1%8C"
Поймать убийцу,"фильм-биография, криминальный фильм, драма, триллер",Эрик Тилл,США Канада,1992,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B9%D0%BC%D0%B0%D1%82%D1%8C_%D1%83%D0%B1%D0%B8%D0%B9%D1%86%D1%83
Позор,драма,"Джодрелл, Стив",Австралия,1987,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%BE%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1988)"
Поймать ведьму,"фильм ужасов, псевдодокументальный фильм, мистика",Андрей Шальопа Ким Дружинин,Россия,2008,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B9%D0%BC%D0%B0%D1%82%D1%8C_%D0%B2%D0%B5%D0%B4%D1%8C%D0%BC%D1%83
Позови меня в даль светлую,"драма, киноповесть",Герман Лавров Станислав Любшин,СССР,1977,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%BE%D0%B2%D0%B8_%D0%BC%D0%B5%D0%BD%D1%8F_%D0%B2_%D0%B4%D0%B0%D0%BB%D1%8C_%D1%81%D0%B2%D0%B5%D1%82%D0%BB%D1%83%D1%8E
Поймать Санту,"комедия, семейный",Сэвидж Стив Холланд,США Канада,2014,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B9%D0%BC%D0%B0%D1%82%D1%8C_%D0%A1%D0%B0%D0%BD%D1%82%D1%83
Познать неизведанное,"научная фантастика, драма",Марк Элайджа Розенберг,США,2016,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%BD%D0%B0%D1%82%D1%8C_%D0%BD%D0%B5%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5
Поймать вора,детектив,Альфред Хичкок,США,1955,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B9%D0%BC%D0%B0%D1%82%D1%8C_%D0%B2%D0%BE%D1%80%D0%B0
Познание плоти,драма,Майк Николс,США,1971,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%BD%D0%B0%D0%BD%D0%B8%D0%B5_%D0%BF%D0%BB%D0%BE%D1%82%D0%B8
Познакомьтесь с Фиблами,чёрная комедия,Питер Джексон,Новая Зеландия,1989,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%BC%D1%8C%D1%82%D0%B5%D1%81%D1%8C_%D1%81_%D0%A4%D0%B8%D0%B1%D0%BB%D0%B0%D0%BC%D0%B8
Поздняя женитьба,"романтический фильм, , , драматический фильм, , , комедийная драма",Dover Kosashvili,Израиль Франция,2001,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B4%D0%BD%D1%8F%D1%8F_%D0%B6%D0%B5%D0%BD%D0%B8%D1%82%D1%8C%D0%B1%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2001)"
Познакомьтесь с Джоном Доу,"комедия, драма",Фрэнк Капра,США,1941,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%BC%D1%8C%D1%82%D0%B5%D1%81%D1%8C_%D1%81_%D0%94%D0%B6%D0%BE%D0%BD%D0%BE%D0%BC_%D0%94%D0%BE%D1%83
Поздняя осень,драма,Ясудзиро Одзу,Япония,1960,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B4%D0%BD%D1%8F%D1%8F_%D0%BE%D1%81%D0%B5%D0%BD%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1960)"
Познавая белый свет,мелодрама,Кира Муратова,СССР,1978,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%BD%D0%B0%D0%B2%D0%B0%D1%8F_%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9_%D1%81%D0%B2%D0%B5%D1%82
Поздняя весна,драма,Ясудзиро Одзу,Япония,1949,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B4%D0%BD%D1%8F%D1%8F_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0
Поздняя встреча,мелодрама,Владимир Шредель,СССР,1978,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B4%D0%BD%D1%8F%D1%8F_%D0%B2%D1%81%D1%82%D1%80%D0%B5%D1%87%D0%B0
Поздние фазы,"ужасы, триллер, драма",Адриан Гарсия Больяно,США,2014,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B4%D0%BD%D0%B8%D0%B5_%D1%84%D0%B0%D0%B7%D1%8B
Поздние хризантемы,фильм-драма,Микио Нарусэ,Япония,1954,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B4%D0%BD%D0%B8%D0%B5_%D1%85%D1%80%D0%B8%D0%B7%D0%B0%D0%BD%D1%82%D0%B5%D0%BC%D1%8B
Поздние свидания,мелодрама,Владимир Григорьев,СССР,1980,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B4%D0%BD%D0%B8%D0%B5_%D1%81%D0%B2%D0%B8%D0%B4%D0%B0%D0%BD%D0%B8%D1%8F
Позвоните Мышкину,кинокомедия,Илья Казанков,Россия,2018,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B2%D0%BE%D0%BD%D0%B8%D1%82%D0%B5_%D0%9C%D1%8B%D1%88%D0%BA%D0%B8%D0%BD%D1%83
"Позабудь про камин, в нём погасли огни","драма, мелодрама",Пётр Чардынин,Россия,1917,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B0%D0%B1%D1%83%D0%B4%D1%8C_%D0%BF%D1%80%D0%BE_%D0%BA%D0%B0%D0%BC%D0%B8%D0%BD,_%D0%B2_%D0%BD%D1%91%D0%BC_%D0%BF%D0%BE%D0%B3%D0%B0%D1%81%D0%BB%D0%B8_%D0%BE%D0%B3%D0%BD%D0%B8"
Поза ребёнка,драма,Кэлин Петер Нецер,Румыния,2013,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B0_%D1%80%D0%B5%D0%B1%D1%91%D0%BD%D0%BA%D0%B0
Позднее шоу,детектив,Роберт Бентон,США,1976,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D0%B4%D0%BD%D0%B5%D0%B5_%D1%88%D0%BE%D1%83
Пожнёшь бурю,драма,Стэнли Крамер,США,1960,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B6%D0%BD%D1%91%D1%88%D1%8C_%D0%B1%D1%83%D1%80%D1%8E_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1960)"
Пожиратель тыкв,драматический фильм,Джек Клейтон,Великобритания,1964,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B6%D0%B8%D1%80%D0%B0%D1%82%D0%B5%D0%BB%D1%8C_%D1%82%D1%8B%D0%BA%D0%B2
Пожирая живых,"фильм ужасов, кинокомедия",Дэвид Дж. Френсис,Канада,2003,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B6%D0%B8%D1%80%D0%B0%D1%8F_%D0%B6%D0%B8%D0%B2%D1%8B%D1%85
Пожиратель душ,фильм ужасов,Дэвид Уинклер,США,2005,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B6%D0%B8%D1%80%D0%B0%D1%82%D0%B5%D0%BB%D1%8C_%D0%B4%D1%83%D1%88_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
