Название,Жанр,Режиссёр,Страна,Год,URL
"Что происходит, когда любовь приходит",комедийный фильм,Зоран Чалич,Югославия,1984,"https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D0%BF%D1%80%D0%BE%D0%B8%D1%81%D1%85%D0%BE%D0%B4%D0%B8%D1%82,_%D0%BA%D0%BE%D0%B3%D0%B4%D0%B0_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_%D0%BF%D1%80%D0%B8%D1%85%D0%BE%D0%B4%D0%B8%D1%82"
Что сделал Джек?,"комедийный фильм, криминальный фильм, драматический фильм, фэнтезийный фильм, музыкальный фильм, фильм-тайна, фильм-триллер",Дэвид Линч,США,2017,https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D1%81%D0%B4%D0%B5%D0%BB%D0%B0%D0%BB_%D0%94%D0%B6%D0%B5%D0%BA%3F
Что посеешь...,драматический фильм,Пеэтер Симм,СССР,1980,"https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D0%BF%D0%BE%D1%81%D0%B5%D0%B5%D1%88%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Что происходит потом,романтическая комедия,Мег Райан,США,2023,https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D0%BF%D1%80%D0%BE%D0%B8%D1%81%D1%85%D0%BE%D0%B4%D0%B8%D1%82_%D0%BF%D0%BE%D1%82%D0%BE%D0%BC
Что скажут люди,"драма, романтическая комедия",Джозеф Манкевич,США,1951,"https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D1%81%D0%BA%D0%B0%D0%B6%D1%83%D1%82_%D0%BB%D1%8E%D0%B4%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1951)"
«Родина зовёт»,"военный фильм, пропаганда",Мачерет А. В.,СССР,1936,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B4%D0%B8%D0%BD%D0%B0_%D0%B7%D0%BE%D0%B2%D1%91%D1%82
Что касается Генри,драма,Майк Николс,США,1991,https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D0%BA%D0%B0%D1%81%D0%B0%D0%B5%D1%82%D1%81%D1%8F_%D0%93%D0%B5%D0%BD%D1%80%D0%B8
Что могло быть хуже?,"комедия, криминальный фильм",Эм Уайзман,США,2001,https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D0%BC%D0%BE%D0%B3%D0%BB%D0%BE_%D0%B1%D1%8B%D1%82%D1%8C_%D1%85%D1%83%D0%B6%D0%B5%3F
Что они сделали с Соланж?,джалло,Массимо Далламано,ФРГ Италия,1972,https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D0%BE%D0%BD%D0%B8_%D1%81%D0%B4%D0%B5%D0%BB%D0%B0%D0%BB%D0%B8_%D1%81_%D0%A1%D0%BE%D0%BB%D0%B0%D0%BD%D0%B6%3F
Шакал,"боевик, триллер, криминальный детектив, приключения, драма",Майкл Кейтон-Джонс,США Великобритания Германия Франция Япония,1997,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%BA%D0%B0%D0%BB_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
